Node1,Node2,Weight,Open,Bicycle,Motorcycle,Car,Truck
Rua da Esperanca, Rua do Progresso, 150, True, True, True, True, True
Rua da Esperanca, Avenida da Paz, 80, True, True, True, True, True
Rua da Esperanca, Rua do Bairro, 120, True, True, True, True, True
Rua do Progresso, Rua da Esperanca, 150, True, True, True, True, True
Rua do Progresso, Avenida da Paz, 100, True, True, True, True, True
Rua do Progresso, Rua do Bairro, 180, True, True, True, True, True
Avenida da Paz, Rua da Esperanca, 80, True, True, True, True, True
Avenida da Paz, Rua do Progresso, 100, True, True, True, True, True
Avenida da Paz, Rua do Bairro, 200, True, True, True, True, True
Rua do Bairro, Rua da Esperanca, 120, True, True, True, True, True
Rua do Bairro, Rua do Progresso, 180, True, True, True, True, True
Rua do Bairro, Avenida da Paz, 250, True, True, True, True, True
Rua da Felicidade, Avenida Central, 200, True, True, True, True, True
Rua da Felicidade, Praça da Liberdade, 150, True, True, True, True, True
Rua da Felicidade, Rua das Flores, 120, True, True, True, True, True
Avenida Central, Rua da Felicidade, 200, True, True, True, True, True
Avenida Central, Praça da Liberdade, 220, True, True, True, True, True
Avenida Central, Rua das Flores, 280, True, True, True, True, True
Praça da Liberdade, Rua da Felicidade, 150, True, True, True, True, True
Praça da Liberdade, Avenida Central, 220, True, True, True, True, True
Praça da Liberdade, Rua das Flores, 100, True, True, True, True, True
Rua das Flores, Rua da Felicidade, 120, True, True, True, True, True
Rua das Flores, Avenida Central, 280, True, True, True, True, True
Rua das Flores, Praça da Liberdade, 100, True, True, True, True, True
Rua do Sol, Avenida do Mar, 140, True, True, True, True, True
Rua do Sol, Rua dos Amores, 80, True, True, True, True, True
Rua do Sol, Praça das Estrelas, 100, True, True, True, True, True
Avenida do Mar, Rua do Sol, 140, True, True, True, True, True
Avenida do Mar, Rua dos Amores, 100, True, True, True, True, True
Avenida do Mar, Praça das Estrelas, 180, True, True, True, True, True
Rua dos Amores, Rua do Sol, 380, True, True, True, True, True
Rua dos Amores, Avenida do Mar, 100, True, True, True, True, True
Rua dos Amores, Praça das Estrelas, 150, True, True, True, True, True
Praça das Estrelas, Rua do Sol, 100, True, True, True, True, True
Praça das Estrelas, Avenida do Mar, 180, True, True, True, True, True
Praça das Estrelas, Rua dos Amores, 150, True, True, True, True, True
Rua da Lua, Rua da Esperanca, 140, True, True, True, True, True
Rua da Lua, Rua do Progresso, 120, True, True, True, True, True
Rua da Lua, Avenida da Paz, 100, True, True, True, True, True
Avenida Central, Rua da Esperanca, 180, True, True, True, True, True
Avenida Central, Rua do Progresso, 250, True, True, True, True, True
Avenida Central, Avenida da Paz, 120, True, True, True, True, True
Avenida Central, Rua da Felicidade, 150, True, True, True, True, True
Avenida Central, Praça da Liberdade, 80, True, True, True, True, True
Avenida Central, Rua das Flores, 220, True, True, True, True, True
Avenida Central, Rua do Sol, 140, True, True, True, True, True
Avenida Central, Avenida do Mar, 160, True, True, True, True, True
Avenida Central, Rua dos Amores, 100, True, True, True, True, True
Rua da Esperanca, Rua do Sol, 100, True, True, True, True, True
Rua da Esperanca, Avenida do Mar, 180, True, True, True, True, True
Rua da Esperanca, Rua dos Amores, 120, True, True, True, True, True
Rua da Esperanca, Praça das Estrelas, 150, True, True, True, True, True
Rua da Esperanca, Rua da Lua, 140, True, True, True, True, True
Rua Nova, Avenida Central, 190, True, True, True, True, True
Rua Nova, Rua da Esperanca, 50, True, True, True, True, True
Rua Nova, Rua do Comércio, 180, True, True, True, True, True
Avenida Larga, Rua da Esperanca, 150, True, True, True, True, True
Avenida Larga, Avenida Central, 100, True, True, True, True, True
Avenida Larga, Largo da Madre de Deus, 230, True, True, True, True, True
Travessa do Bairro, Rua da Esperanca, 130, False, True, True, False, False
Travessa do Bairro, Rua do Comércio, 350, True, True, True, True, True
Travessa do Bairro, Rua Nova, 540, True, True, True, True, True
Largo do Mercado, Largo da Madre de Deus, 150, True, True, True, True, True
Largo do Mercado, Rua Nova, 140, True, True, True, True, True
Largo do Mercado, Avenida Larga, 302, True, True, True, True, True
Rua do Porto, Rua da Esperanca, 305, True, True, True, True, True
Rua do Porto, Avenida Central, 130, True, True, True, True, True
Rua do Porto, Travessa do Bairro, 201, True, True, True, True, True
Avenida Nova, Rua do Comércio, 110, True, True, True, True, True
Avenida Nova, Largo do Mercado, 202, True, True, True, True, True
Avenida Nova, Rua do Porto, 330, True, True, True, True, True
