Rua,Peso(kg),Volume(cm^3),StartDate,EndDate
Rua Cruz de Pedra, 1.5, 50,2023-12-07 08:05,2023-12-07 17:15
Rua de Moure, 2.5, 70,2023-12-07 09:00,2023-12-07 19:00
Travessa da Calcada, 1, 20,2023-12-07 10:35,2023-12-07 17:15
Rua da Feira, 10, 150,2023-12-07 10:00,2023-12-07 14:00
Largo da Madre de Deus, 3.5, 50,2023-12-07 10:00,2023-12-07 15:00
Travessa A da Boavista, 5.5, 80,2023-12-07 11:00,2023-12-07 13:00
Praca Camilo Castelo Branco, 1.5, 55,2023-12-07 15:00,2023-12-08 16:00
Rua da Bela Vista, 6.5, 120,2023-12-07 16:00,2023-12-07 19:00
Praceta de S.Tiago, 2, 45,2023-12-07 18:00,2023-12-07 19:00
Rua Cidade do Porto, 6.5, 70,2023-12-07 17:30,2023-12-07 19:00
Rua Manuel Tomaz, 7.5, 80,2023-12-07 12:30,2023-12-07 19:00
Rua Casa do Senhor, 2, 30,2023-12-07 09:00,2023-12-07 12:00
Rua do Visconde de Pindela, 20, 200,2023-12-07 09:00,2023-12-07 19:00
Rua do Portelo, 8, 100,2023-12-07 09:30,2023-12-07 18:30
Largo Barbosa e Castro, 1, 20,2023-12-07 09:30,2023-12-07 18:30
Rua Tenente Coronel Dias Pereira, 2, 30,2023-12-07 10:00,2023-12-07 15:30
Largo de Maximinos, 4.5, 75,2023-12-07 12:00,2023-12-07 16:30
Largo das Alminhas, 9.5, 180,2023-12-07 12:00,2023-12-07 18:30
Rua de Calva, 9.5, 180,2023-12-07 12:00,2023-12-07 18:30
Rua de St Antonio, 7.5, 100,2023-12-07 13:00,2023-12-07 18:30
Rua da Violinha, 9.5, 120,2023-12-07 14:30,2023-12-07 18:00
Rua Maria da Fonte, 1.5, 40,2023-12-07 13:30,2023-12-07 18:00
Rua do Barral, 1.5, 50,2023-12-07 11:30,2023-12-07 13:00
Rua Manuel Peixoto, 2.5, 55,2023-12-07 14:30,2023-12-07 17:00
Praca do Municipio, 40, 500,2023-12-07 13:00,2023-12-07 19:00
Rua Joaquim Teixeira Serra, 15.5, 250,2023-12-07 11:00,2023-12-07 17:00
Praca do Condestavel, 10.5, 200,2023-12-07 12:00,2023-12-07 17:00
Rua Eca de Queiros, 0.5, 15,2023-12-07 12:00,2023-12-07 15:00
Rua do Polidesportivo, 0.5, 20,2023-12-07 09:00,2023-12-07 11:00
Rua Fotografo Arcelino, 1.5, 40,2023-12-07 09:30,2023-12-07 14:30
Rua do Castelo, 15.5, 250,2023-12-07 10:30,2023-12-07 17:30
